county,year,extreme_max_precip,extreme_max_temp,total_precip,snowfall,max_temp
"Redwood SOUTHWEST RESEARCH AND OUTREACH CENTER, MN US",2009,1.53,99,22.97,56.5,53.8
"Redwood SOUTHWEST RESEARCH AND OUTREACH CENTER, MN US",2010,4.26,94,37.33,59,55.3
"Redwood SOUTHWEST RESEARCH AND OUTREACH CENTER, MN US",2011,4.42,101,25.56,,55.2
"Redwood SOUTHWEST RESEARCH AND OUTREACH CENTER, MN US",2012,2.29,98,24.91,,60.5
"Redwood SOUTHWEST RESEARCH AND OUTREACH CENTER, MN US",2013,1.62,96,23.26,,52.9
"Redwood SOUTHWEST RESEARCH AND OUTREACH CENTER, MN US",2014,3.12,90,27.79,,52.8
"Redwood SOUTHWEST RESEARCH AND OUTREACH CENTER, MN US",2015,2.59,95,30.77,35,57.5
"Redwood SOUTHWEST RESEARCH AND OUTREACH CENTER, MN US",2016,4.37,97,37.81,44.3,57.5
"Redwood SOUTHWEST RESEARCH AND OUTREACH CENTER, MN US",2017,3.88,94,30.11,29.3,56.6
"Redwood SOUTHWEST RESEARCH AND OUTREACH CENTER, MN US",2018,2.6,100,38.5,80.7,52.3
